Entity,Code,Day,Training computation (petaFLOP)
SmooCT,,2014-07-01,69
Sparse Vision Encoding,,2006-11-01,0.0096048005
Sparse all-MLP,,2022-04-14,60770.305
Speaker-independent vowel classification,,1989-01-01,0.000007485696
Stable Diffusion (LDM-KL-8-G),,2022-04-13,50000000
StarCoder,,2023-05-09,84600000
Student of Games,,2021-12-06,36679270
Swift,,2023-08-30,53.37
Swin Transformer V2,,2021-11-18,1100000
Switch,,2021-01-11,82200000
System 11,,1996-06-18,0.00001293
T0-XXL,,2021-10-15,918190.06
T5-11B,,2019-10-23,33000000
T5-3B,,2019-10-23,865865.44
TD-Gammon,,1992-05-01,0.018232157
TaLK Convolution,,2020-02-08,27800
Tensor-Transformer(1core)+PN (WT103),,2020-03-17,1580
Tensorized Transformer (257M),,2019-06-24,4760.0005
Theseus,,1950-07-02,4e-14
Tranception,,2022-05-27,7240000.5
TransE,,2013-12-05,1340.928
Transformer,,2017-06-12,7424.525
Transformer (Adaptive Input Embeddings) WT103,,2018-09-28,72000
Transformer + Simple Recurrent Unit,,2018-09-17,11000
Transformer local-attention (NesT-B),,2021-05-26,24057.602
Transformer-XL (257M),,2019-01-09,10900
Transformer-XL DeFINE (141M),,2019-11-27,6200
Transformer-XL Large + Phrase Induction,,2019-06-04,7300.0005
TransformerXL + spectrum control,,2020-03-11,460
TrellisNet,,2018-10-15,2780
Turing-NLG,,2020-02-13,15700000
Two Stage Feature Extraction for Object Recognition,,2009-09-29,0.4069836
U-PaLM (540B),,2022-10-20,2530000100
UDSMProt,,2019-09-04,637
UL2,,2022-05-10,120000000
ULM-FiT,,2018-01-18,272.538
UnifiedQA,,2020-05-02,16500
Unsupervised High-level Feature Learner,,2012-07-12,600
VALL-E,,2023-01-05,10100
VD-LSTM+REAL Large,,2016-11-04,21.3
VD-RHN,,2016-07-12,3.57
VGG16,,2014-09-04,12291
"Variational (untied weights, MC) LSTM (Large)",,2015-12-16,5.6200004
ViT + DINO,,2021-04-29,210000
ViT-22B,,2023-02-10,400010020
ViT-G (model soup),,2022-03-10,3400000.2
ViT-G/14,,2021-06-08,58500000
ViT-Huge/14,,2020-10-22,4262000
VideoMAE V2,,2023-03-29,9700000
Visualizing CNNs,,2013-11-12,532
Volcano 13B,,2023-11-13,45600000
WeNet (Penn Treebank),,2019-04-08,730
Weight Decay,,1991-12-02,0.000075474
Whisper,,2022-09-21,4207266.5
Word2Vec (large),,2013-10-16,38.879997
XGLM-7.5B,,2021-12-20,22500000
XLMR-XXL,,2021-08-17,33660000
XLNet,,2019-06-01,8900000
Xception,,2016-10-07,436000
YOLOv3,,2018-04-08,50939.2
Yi-34B,,2023-11-02,610000060
Yuan 1.0,,2021-10-12,353800030
Zip CNN,,1989-12-01,0.000043372118
Zoneout + Variational LSTM (WT2),,2016-09-26,16.8
aLSTM(depth-2)+RecurrentPolicy (WT2),,2018-05-22,75.9
base LM+GNN+kNN,,2021-10-17,7300.0005
eDiff-I,,2022-11-02,54600.004
genCNN + dyn eval,,2015-03-17,73
iGPT-L,,2020-06-17,8910000
iGPT-XL,,2020-06-17,33000000
mT5-XXL,,2020-10-20,82000000
wave2vec 2.0 LARGE,,2020-10-22,1900000
xTrimoPGLM -100B,,2023-07-06,620000000
