Entity,Code,Year,Patent applications - Field: All
Philippines,PHL,2018,2
Philippines,PHL,2019,7
Philippines,PHL,2020,2
Poland,POL,2013,6
Poland,POL,2014,8
Poland,POL,2015,19
Poland,POL,2016,14
Poland,POL,2017,10
Poland,POL,2018,19
Poland,POL,2019,13
Poland,POL,2020,8
Portugal,PRT,2014,1
Portugal,PRT,2015,5
Portugal,PRT,2016,10
Portugal,PRT,2017,6
Portugal,PRT,2018,11
Portugal,PRT,2019,3
Portugal,PRT,2020,8
Romania,ROU,2015,6
Romania,ROU,2016,2
Romania,ROU,2017,5
Romania,ROU,2018,5
Romania,ROU,2019,6
Romania,ROU,2020,9
Russia,RUS,2013,45
Russia,RUS,2014,83
Russia,RUS,2015,98
Russia,RUS,2016,137
Russia,RUS,2017,182
Russia,RUS,2018,210
Russia,RUS,2019,169
Russia,RUS,2020,189
Saudi Arabia,SAU,2018,2
Serbia,SRB,2013,1
Serbia,SRB,2014,1
Serbia,SRB,2015,1
Serbia,SRB,2016,2
Serbia,SRB,2017,2
Serbia,SRB,2018,5
Serbia,SRB,2019,4
Serbia,SRB,2020,5
Singapore,SGP,2013,26
Singapore,SGP,2014,36
Singapore,SGP,2015,33
Singapore,SGP,2016,51
Singapore,SGP,2017,111
Singapore,SGP,2018,201
Singapore,SGP,2019,151
Singapore,SGP,2020,52
Slovakia,SVK,2015,4
Slovakia,SVK,2020,4
Slovenia,SVN,2013,2
Slovenia,SVN,2015,2
Slovenia,SVN,2016,3
Slovenia,SVN,2018,4
South Africa,ZAF,2013,1
South Africa,ZAF,2014,3
South Africa,ZAF,2016,3
South Africa,ZAF,2017,3
South Africa,ZAF,2018,4
South Africa,ZAF,2019,1
South Africa,ZAF,2020,6
South Korea,KOR,2013,291
South Korea,KOR,2014,365
South Korea,KOR,2015,457
South Korea,KOR,2016,1158
South Korea,KOR,2017,2376
South Korea,KOR,2018,4161
South Korea,KOR,2019,6595
South Korea,KOR,2020,8296
Spain,ESP,2013,22
Spain,ESP,2014,32
Spain,ESP,2015,37
Spain,ESP,2016,50
Spain,ESP,2017,52
Spain,ESP,2018,49
Spain,ESP,2019,46
Spain,ESP,2020,42
Sri Lanka,LKA,2016,1
Sweden,SWE,2013,13
Sweden,SWE,2014,3
Sweden,SWE,2015,6
Sweden,SWE,2016,12
Sweden,SWE,2017,11
Sweden,SWE,2018,31
Sweden,SWE,2019,16
Sweden,SWE,2020,23
Switzerland,CHE,2014,4
Switzerland,CHE,2015,3
Switzerland,CHE,2016,4
Switzerland,CHE,2017,2
Switzerland,CHE,2018,4
Switzerland,CHE,2019,3
Switzerland,CHE,2020,5
Taiwan,TWN,2013,47
Taiwan,TWN,2014,36
Taiwan,TWN,2015,47
Taiwan,TWN,2016,98
Taiwan,TWN,2017,186
Taiwan,TWN,2018,356
Taiwan,TWN,2019,497
Taiwan,TWN,2020,624
Thailand,THA,2017,1
Tunisia,TUN,2020,1
Turkey,TUR,2013,3
Turkey,TUR,2014,2
Turkey,TUR,2015,4
Turkey,TUR,2016,8
Turkey,TUR,2017,11
Turkey,TUR,2018,18
Turkey,TUR,2019,25
Turkey,TUR,2020,46
Ukraine,UKR,2013,11
Ukraine,UKR,2014,22
Ukraine,UKR,2015,12
Ukraine,UKR,2016,4
Ukraine,UKR,2017,2
Ukraine,UKR,2018,4
Ukraine,UKR,2019,1
United Kingdom,GBR,2013,80
United Kingdom,GBR,2014,70
United Kingdom,GBR,2015,93
United Kingdom,GBR,2016,188
United Kingdom,GBR,2017,276
United Kingdom,GBR,2018,407
United Kingdom,GBR,2019,423
United Kingdom,GBR,2020,431
United States,USA,2013,2230
United States,USA,2014,2738
United States,USA,2015,3930
United States,USA,2016,6163
United States,USA,2017,9851
United States,USA,2018,13262
United States,USA,2019,13873
United States,USA,2020,12676
Uruguay,URY,2017,1
Uruguay,URY,2020,1
World,OWID_WRL,2013,5560
World,OWID_WRL,2014,6867
World,OWID_WRL,2015,10257
World,OWID_WRL,2016,18515
World,OWID_WRL,2017,32070
World,OWID_WRL,2018,52648
World,OWID_WRL,2019,72745
World,OWID_WRL,2020,96358
