Entity,Code,Year,Patent applications per 1 million people - Field: All
France,FRA,2018,2.8083227
France,FRA,2019,3.362267
France,FRA,2020,4.2788687
Germany,DEU,2013,0.8020574
Germany,DEU,2014,0.8233378
Germany,DEU,2015,1.4742156
Germany,DEU,2016,2.8395326
Germany,DEU,2017,4.8012123
Germany,DEU,2018,7.616785
Germany,DEU,2019,10.160463
Germany,DEU,2020,12.316344
Greece,GRC,2014,0.09180065
Greece,GRC,2015,0.18482749
Greece,GRC,2016,0.37121227
Greece,GRC,2017,1.3018979
Greece,GRC,2018,0.83870375
Greece,GRC,2019,0.27988783
Greece,GRC,2020,0.46731722
Hong Kong,HKG,2016,0.53995645
Hong Kong,HKG,2017,0.13432032
Hong Kong,HKG,2018,1.873865
Hong Kong,HKG,2019,0.13358597
Hungary,HUN,2013,0.20223789
Hungary,HUN,2014,0.101390645
Hungary,HUN,2015,0.8130734
Hungary,HUN,2016,0.5096565
Hungary,HUN,2017,0.6131455
Hungary,HUN,2018,0.30692437
Hungary,HUN,2019,0.40940207
Hungary,HUN,2020,0.20513956
India,IND,2013,0.041672148
India,IND,2014,0.037339672
India,IND,2015,0.083582796
India,IND,2016,0.11607624
India,IND,2017,0.19784395
India,IND,2018,0.19641234
India,IND,2019,0.007199267
India,IND,2020,0.0035647633
Indonesia,IDN,2013,0.0039085024
Indonesia,IDN,2016,0.0075577954
Iran,IRN,2018,0.011611974
Ireland,IRL,2016,0.42074215
Ireland,IRL,2018,0.4104621
Israel,ISR,2013,1.1613849
Israel,ISR,2014,0.75976557
Israel,ISR,2015,1.9868581
Israel,ISR,2016,0.609013
Israel,ISR,2017,2.5114222
Israel,ISR,2018,2.3501575
Israel,ISR,2019,2.425652
Israel,ISR,2020,2.6135237
Italy,ITA,2013,0.16486995
Italy,ITA,2014,0.09890517
Italy,ITA,2015,0.18159212
Italy,ITA,2016,0.34723312
Italy,ITA,2017,0.48020944
Italy,ITA,2018,0.69677746
Italy,ITA,2019,0.99783576
Italy,ITA,2020,1.0849108
Japan,JPN,2013,2.771609
Japan,JPN,2014,4.0161085
Japan,JPN,2015,5.8062854
Japan,JPN,2016,10.679463
Japan,JPN,2017,18.722748
Japan,JPN,2018,28.216084
Japan,JPN,2019,33.46503
Japan,JPN,2020,33.74384
Jordan,JOR,2017,0.09771134
Kenya,KEN,2016,0.020772884
Latvia,LVA,2017,0.51477426
Latvia,LVA,2020,0.526006
Lithuania,LTU,2014,0.6818557
Lithuania,LTU,2015,1.3765705
Lithuania,LTU,2016,1.0456212
Lithuania,LTU,2017,1.4137683
Lithuania,LTU,2018,3.2114367
Lithuania,LTU,2019,0.71554893
Lithuania,LTU,2020,1.7884187
Luxembourg,LUX,2016,3.4275274
Luxembourg,LUX,2017,5.0292954
Luxembourg,LUX,2018,14.800003
Luxembourg,LUX,2019,16.124716
Luxembourg,LUX,2020,20.615385
Malaysia,MYS,2013,0.46397147
Malaysia,MYS,2014,0.32577392
Malaysia,MYS,2015,0.57631725
Malaysia,MYS,2016,0.31456736
Malaysia,MYS,2017,0.40178463
Malaysia,MYS,2018,0.27346513
Malaysia,MYS,2019,0.02990378
Malaysia,MYS,2020,0.059015233
Mexico,MEX,2013,0.27039915
Mexico,MEX,2014,0.17531519
Mexico,MEX,2015,0.38819775
Mexico,MEX,2016,0.52351165
Mexico,MEX,2017,0.5672607
Mexico,MEX,2018,0.73049116
Mexico,MEX,2019,0.8349039
Mexico,MEX,2020,0.8201954
Morocco,MAR,2013,0.02959668
Morocco,MAR,2014,0.087707035
Morocco,MAR,2015,0.05779079
Morocco,MAR,2016,0.085656874
Morocco,MAR,2017,0.14105806
Morocco,MAR,2018,0.19531381
Morocco,MAR,2019,0.19331191
Morocco,MAR,2020,0.027334198
Netherlands,NLD,2013,0.11787543
Netherlands,NLD,2014,0.058719605
Netherlands,NLD,2015,0.29227072
Netherlands,NLD,2016,0.34874204
Netherlands,NLD,2017,0.28876072
Netherlands,NLD,2018,0.7462137
Netherlands,NLD,2019,1.3684956
Netherlands,NLD,2020,1.0772971
New Zealand,NZL,2013,1.5716708
New Zealand,NZL,2014,0.8843733
New Zealand,NZL,2015,3.6844091
New Zealand,NZL,2016,0.63629854
New Zealand,NZL,2017,2.077815
New Zealand,NZL,2018,2.4485579
New Zealand,NZL,2019,1.002122
Norway,NOR,2013,0.19684555
Norway,NOR,2014,0.3893022
Norway,NOR,2016,0.57295895
Norway,NOR,2017,0.37901714
Norway,NOR,2018,1.1295711
Norway,NOR,2019,0.93497527
Norway,NOR,2020,1.4871895
Oman,OMN,2016,0.22774477
Panama,PAN,2016,0.4963906
Peru,PER,2015,0.06566506
Peru,PER,2016,0.097192764
Peru,PER,2018,0.094050996
Peru,PER,2019,0.092451915
Peru,PER,2020,0.3654239
Philippines,PHL,2015,0.03798202
Philippines,PHL,2016,0.028106803
Philippines,PHL,2017,0.009249009
Philippines,PHL,2018,0.018270632
Philippines,PHL,2019,0.063174225
Philippines,PHL,2020,0.017844195
Poland,POL,2013,0.15682475
Poland,POL,2014,0.20906772
Poland,POL,2015,0.49652025
Poland,POL,2016,0.36588624
Poland,POL,2017,0.26140398
Poland,POL,2018,0.49684802
Poland,POL,2019,0.3400837
Poland,POL,2020,0.20958316
Portugal,PRT,2014,0.09609654
Portugal,PRT,2015,0.48214772
Portugal,PRT,2016,0.9665219
Portugal,PRT,2017,0.5807855
Portugal,PRT,2018,1.0653389
Portugal,PRT,2019,0.29004514
Portugal,PRT,2020,0.7714175
Romania,ROU,2015,0.3019473
Romania,ROU,2016,0.10112732
Romania,ROU,2017,0.25394368
Romania,ROU,2018,0.25512972
Romania,ROU,2019,0.30766797
Romania,ROU,2020,0.46409768
Russia,RUS,2013,0.31119448
Russia,RUS,2014,0.5727075
Russia,RUS,2015,0.67443126
Russia,RUS,2016,0.93978083
Russia,RUS,2017,1.2449825
Russia,RUS,2018,1.4341309
Russia,RUS,2019,1.1533233
Russia,RUS,2020,1.2912368
Saudi Arabia,SAU,2018,0.06586505
Serbia,SRB,2013,0.13743468
Serbia,SRB,2014,0.13836612
Serbia,SRB,2015,0.139329
Serbia,SRB,2016,0.28065908
Serbia,SRB,2017,0.28274515
Serbia,SRB,2018,0.7122491
Serbia,SRB,2019,0.5742049
Serbia,SRB,2020,0.72381765
Singapore,SGP,2013,4.8276987
Singapore,SGP,2014,6.595945
Singapore,SGP,2015,5.97248
Singapore,SGP,2016,9.143166
Singapore,SGP,2017,19.806973
Singapore,SGP,2018,35.673927
Singapore,SGP,2019,26.633451
Singapore,SGP,2020,9.252422
Slovakia,SVK,2015,0.7379694
Slovakia,SVK,2020,0.73326844
Slovenia,SVN,2013,0.97254884
Slovenia,SVN,2015,0.97089875
Slovenia,SVN,2016,1.4553365
Slovenia,SVN,2018,1.9328489
South Africa,ZAF,2013,0.018288627
South Africa,ZAF,2014,0.053961843
South Africa,ZAF,2016,0.052393008
South Africa,ZAF,2017,0.052051563
South Africa,ZAF,2018,0.06824425
South Africa,ZAF,2019,0.016781935
South Africa,ZAF,2020,0.09907141
South Korea,KOR,2013,5.811728
South Korea,KOR,2014,7.2221375
South Korea,KOR,2015,8.963613
South Korea,KOR,2016,22.57405
South Korea,KOR,2017,46.148228
South Korea,KOR,2018,80.575676
South Korea,KOR,2019,127.39569
South Korea,KOR,2020,159.97383
Spain,ESP,2013,0.46947962
Spain,ESP,2014,0.6849288
Spain,ESP,2015,0.79256815
Spain,ESP,2016,1.0699131
Spain,ESP,2017,1.1094849
Spain,ESP,2018,1.0404984
Spain,ESP,2019,0.96974564
Spain,ESP,2020,0.880882
Sri Lanka,LKA,2016,0.045639668
Sweden,SWE,2013,1.3540791
Sweden,SWE,2014,0.309392
Sweden,SWE,2015,0.61227727
Sweden,SWE,2016,1.2092775
Sweden,SWE,2017,1.0936716
Sweden,SWE,2018,3.046563
Sweden,SWE,2019,1.5565531
Sweden,SWE,2020,2.2214324
Switzerland,CHE,2014,0.4883863
Switzerland,CHE,2015,0.36214653
Switzerland,CHE,2016,0.47761753
Switzerland,CHE,2017,0.23658481
Switzerland,CHE,2018,0.46968538
Switzerland,CHE,2019,0.3497512
Switzerland,CHE,2020,0.5786647
Taiwan,TWN,2013,2.0071
Taiwan,TWN,2014,1.5336894
Taiwan,TWN,2015,1.9975129
Taiwan,TWN,2016,4.1549826
Taiwan,TWN,2017,7.8703675
Taiwan,TWN,2018,15.046932
Taiwan,TWN,2019,20.993374
Taiwan,TWN,2020,26.36977
Thailand,THA,2017,0.014052803
Tunisia,TUN,2020,0.08351388
Turkey,TUR,2013,0.039265458
Turkey,TUR,2014,0.025629146
Turkey,TUR,2015,0.049991112
Turkey,TUR,2016,0.09797668
Turkey,TUR,2017,0.13239665
Turkey,TUR,2018,0.2132298
Turkey,TUR,2019,0.2928852
Turkey,TUR,2020,0.53431404
Ukraine,UKR,2013,0.23847328
Ukraine,UKR,2014,0.47854823
Ukraine,UKR,2015,0.26209512
Ukraine,UKR,2016,0.08768693
Ukraine,UKR,2017,0.044017926
Ukraine,UKR,2018,0.08847815
Ukraine,UKR,2019,0.022243254
United Kingdom,GBR,2013,1.2424408
United Kingdom,GBR,2014,1.0791492
United Kingdom,GBR,2015,1.4224075
United Kingdom,GBR,2016,2.8530948
United Kingdom,GBR,2017,4.159478
United Kingdom,GBR,2018,6.097152
United Kingdom,GBR,2019,6.3029947
United Kingdom,GBR,2020,6.3992295
United States,USA,2013,6.966339
United States,USA,2014,8.473753
United States,USA,2015,12.050539
United States,USA,2016,18.722313
United States,USA,2017,29.653408
United States,USA,2018,39.581383
United States,USA,2019,41.06989
United States,USA,2020,37.344284
Uruguay,URY,2017,0.29512072
Uruguay,URY,2020,0.29420704
World,OWID_WRL,2013,0.762501
World,OWID_WRL,2014,0.9302841
World,OWID_WRL,2015,1.3730019
World,OWID_WRL,2016,2.4495425
World,OWID_WRL,2017,4.1945596
World,OWID_WRL,2018,6.8109527
World,OWID_WRL,2019,9.312798
World,OWID_WRL,2020,12.217318
