Entity,Code,Day,Number of parameters,Researcher affiliation
BLOOM-176B,,2022-11-08,176247275520,Other
BLOOMZ-176B,,2022-11-03,176000008192,Industry
BLSTM for handwriting (1),,2007-09-23,,Academia
BLSTM for handwriting (2),,2007-12-03,100881,Academia
BLUUMI,,2023-11-03,176000008192,Academia and industry collaboration
BOXES,,1968-07-01,,Academia
BPE,,2015-08-31,,Academia
BPL,,2015-12-11,,Academia
Back-propagation,,1986-10-01,144,Academia
Bankruptcy-NN,,1990-06-17,36,Other
Base LM + kNN LM + Continuous Cache,,2019-11-01,247000000,Academia and industry collaboration
BatchNorm,,2015-06-15,13600000,Industry
Bayesian automated hyperparameter tuning,,2012-12-02,,Academia
BellKor 2007,,2009-09-21,,Industry
BellKor 2008,,2009-08-01,,Industry
BellKor 2009,,2009-08-01,,Industry
BiLSTM for Speech,,2005-08-01,152061,Academia
Bidirectional RNN,,1997-11-01,13000,Industry
Big Transfer (BiT-L),,2019-12-24,928000000,Industry
Big Transformer for Back-Translation,,2018-08-28,,Industry
Big-Little Net,,2018-07-10,77360000,Industry
Big-Little Net (speech),,2018-07-10,3320000,Industry
BigBiGAN,,2019-07-04,86000000,Industry
BigChaos 2008,,2008-11-25,,Industry
BigChaos OptiBlend,,2009-08-01,,Industry
BigGAN-deep 512x512,,2018-09-28,112694784,Academia and industry collaboration
BigSSL,,2021-01-10,8000000000,Industry
Binarized Neural Network (MNIST),,2016-03-17,37000000,Academia
BlenderBot 3,,2022-08-10,174999994368,Academia and industry collaboration
BloombergGPT,,2023-03-30,50558869504,Academia and industry collaboration
Boosting,,1992-11-30,2578,Industry
Boss (DARPA Urban Challenge),,2008-07-23,,Academia
ByT5-XXL,,2021-05-28,12899999744,Industry
CICERO,,2022-11-22,,Industry
CLIP (ResNet-50),,2021-01-05,88600000,Industry
CLIP (ViT L/14@336px),,2021-01-05,370000000,Industry
CNN Best Practices,,2003-08-06,,Industry
CODEFUSION (Python),,2023-10-26,75000000,Industry
CPC v2,,2019-05-22,303000000,Academia and industry collaboration
CPM-Large,,2020-12-01,2600000000,Academia
CRF-RNN,,2015-02-11,,Academia and industry collaboration
CT-MoS (WT2),,2020-12-25,45000000,Academia and industry collaboration
CTC-Trained LSTM,,2006-06-25,114662,Academia
CTM (CIFAR-10),,2023-10-01,,Academia and industry collaboration
CURL,,2020-04-08,907264,Academia
CaLM,,2022-12-19,86000000,Academia
CamemBERT,,2019-11-10,335000000,Academia and industry collaboration
Cancer drug mechanism prediction,,1992-10-16,594,Other
CapsNet (MNIST),,2017-10-26,8200000,Industry
CapsNet (MultiMNIST),,2017-10-26,11360000,Industry
Cascaded LNet-ANet,,2014-11-28,,Academia
Ceramic-MLP,,1994-01-01,1888,Academia
Char-CNN-BiLSTM,,2019-06-13,,Industry
Character-enriched word2vec,,2016-07-15,,Industry
ChatGLM3-6B,,2023-10-27,6000000000,Industry
Chinchilla,,2022-03-29,70000001024,Industry
Chinese - English translation,,2018-03-01,,Industry
Claude,,2023-03-14,,Industry
Claude 2,,2023-07-11,,Industry
Claude 2.1,,2023-11-21,,Industry
Claude 3 Opus,,2024-03-04,,Industry
Claude 3.5 Sonnet,,2024-06-20,,Industry
CoAtNet,,2021-06-09,2440000000,Industry
CoCa,,2022-06-14,2100000000,Industry
CoEdiT-xxl,,2023-05-17,11000000512,Academia and industry collaboration
CoRe,,2023-12-29,12400000000,Academia
CodeT5+,,2023-05-20,16000000000,Industry
CodeT5-base,,2021-11-01,220000000,Academia and industry collaboration
CodeT5-large,,2022-07-05,770000000,Industry
Codex,,2021-07-07,12000000000,Industry
CogAgent,,2023-12-14,17999998976,Academia and industry collaboration
CogVLM-17B,,2023-11-06,16999999488,Academia and industry collaboration
CogVideo,,2022-05-29,9400000512,Academia
CogView,,2021-05-26,4000000000,Academia and industry collaboration
Cognitron,,1975-09-01,28800,Industry
Cohere Embed,,2023-11-02,,Industry
Conformer,,2020-05-16,118800000,Industry
Conformer + Wav2vec 2.0 + Noisy Student,,2020-10-20,1000000000,Industry
Constituency-Tree LSTM,,2015-02-28,205190,Academia and industry collaboration
Context-dependent RNN,,2012-07-27,,Academia and industry collaboration
ContextNet,,2020-05-07,112700000,Industry
ContextNet + Noisy Student,,2020-01-19,,Industry
Contriever,,2021-12-16,110000000,Academia and industry collaboration
Conv-DBN,,2009-06-14,,Academia
ConvNet similarity metric,,2005-06-20,,Academia
ConvS2S (ensemble of 8 models),,2017-07-25,,Industry
Convolutional Pose Machines,,2016-01-30,,Academia
Cross-Lingual POS Tagger,,2011-06-19,,Academia and industry collaboration
Cross-lingual alignment,,2019-04-04,,Academia
Cutout-regularized net,,2017-08-15,,Other
DALL-E,,2021-01-05,12000000000,Industry
DALL·E 2,,2022-04-06,3500000000,Industry
DALL·E 3,,2023-10-19,,Industry
DANet,,2019-04-21,,Academia
DARTS,,2018-06-24,33000000,Academia and industry collaboration
DBLSTM,,2013-12-08,29900000,Academia
DCN+,,2017-10-31,,Industry
DD-PPO,,2019-12-19,,Academia and industry collaboration
DDPM-IP (CelebA),,2023-01-27,295000000,Academia
DETR,,2020-05-26,60000000,Industry
DINOv2,,2023-04-14,1140000000,Academia and industry collaboration
DITTO,,2022-06-06,750000000,Academia and industry collaboration
DImensionality Reduction,,2006-07-18,3800000,Academia
DLRM-2020,,2019-05-31,99999997952,Industry
DMN,,2016-06-20,,Industry
DNABERT,,2021-08-15,110000000,Academia
DOT(S)-RNN,,2013-12-20,6160000,Academia
DQN,,2013-12-19,836096,Industry
DQN-2015,,2015-02-25,1693362,Industry
DeBERTa,,2021-06-10,1500000000,Industry
DeBERTaV3-large + KEAR,,2021-12-06,418000000,Industry
DeLighT,,2020-08-03,99000000,Other
DeViSE,,2013-12-05,,Industry
Decision tree (classification),,2001-12-08,120000000,Industry
Decision tree adaline,,1969-05-01,2450,Academia
Deconvolutional Network,,2010-06-13,,Academia
Decoupled weight decay regularization,,2019-01-04,36500000,Academia
Deep Belief Nets,,2006-07-18,1600000,Academia
Deep Blue,,1997-05-01,8000,Industry
Deep Boltzmann Machines,,2009-04-16,,Academia
Deep Deterministic Policy Gradients,,2015-09-09,,Industry
Deep LSTM video classifier,,2015-05-01,,Academia and industry collaboration
Deep Multitask NLP Network,,2008-07-05,1500000,Industry
Deep rectifier networks,,2011-04-13,,Academia
DeepFace,,2014-06-23,,Academia and industry collaboration
DeepLab,,2014-12-22,,Academia and industry collaboration
DeepLab (2017),,2017-04-27,,Academia and industry collaboration
DeepLabV3,,2017-06-17,,Industry
DeepLabV3+,,2018-02-07,,Industry
DeepNash,,2022-12-01,,Industry
DeepNet,,2022-03-01,3200000000,Industry
DeepSeek-Coder-V2 236B,,2024-06-17,236000002048,Industry
DeepSpeech2 (English),,2015-12-08,38000000,Industry
DeepStack,,2017-01-06,2500000,Academia
Deeply-recursive ConvNet,,2016-11-11,,Academia
Deeply-supervised nets,,2014-09-18,,Industry
DeiT-B,,2021-01-15,86000000,Academia and industry collaboration
Denoising Autoencoders,,2008-07-05,,Academia
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021-06-11,256000000,Academia
DenseNet-264,,2016-08-25,34000000,Academia and industry collaboration
DensePhrases,,2020-12-23,,Academia
Detic,,2022-01-07,88000000,Academia and industry collaboration
DiT-XL/2,,2023-03-02,675000000,Academia
DiT-XL/2 + CADS,,2023-10-26,675000000,Academia
DiT-XL/2 + Discriminator Guidance,,2022-11-28,,Academia and industry collaboration
Diabetic Retinopathy Detection Net,,2016-12-13,,Academia and industry collaboration
DiffDock,,2022-10-04,20240000,Academia
Differentiable neural computer,,2016-10-12,,Industry
Diffractive Deep Neural Network,,2018-04-14,8000000000,Academia
Diffusion-GAN,,2022-06-05,,Academia and industry collaboration
Diplodocus,,2022-10-11,,Academia and industry collaboration
Discriminator Guidance,,2022-11-28,,Academia and industry collaboration
DistBelief NNLM,,2013-01-16,,Industry
DistBelief Speech,,2012-12-03,47185920,Industry
DistBelief Vision,,2012-12-03,1700000000,Industry
DistilBERT,,2019-10-02,66000000,Industry
Distributed representation NN,,1986-01-01,432,Academia
DnCNN,,2017-02-01,,Academia and industry collaboration
Domain Adaptation,,2011-11-06,15260,Academia
DrLIM,,2006-06-17,37097,Academia
Dropout (CIFAR),,2012-06-03,,Academia
Dropout (ImageNet),,2012-06-03,,Academia
Dropout (MNIST),,2012-06-03,5592010,Academia
Dropout (TIMIT),,2012-06-03,48840184,Academia
Dropout-LSTM+Noise(Bernoulli) (WT2),,2018-05-03,51000000,Academia
Dropout: SVHN,,2014-06-01,47795232,Academia
EDSR,,2017-06-10,,Academia
EI-REHN-1000D,,2017-08-14,19000000,Academia
ELECTRA,,2020-03-23,335000000,Academia and industry collaboration
ELMo,,2018-02-01,94000000,Other
EMDR,,2021-06-09,440000000,Academia and industry collaboration
ENAS,,2018-02-09,24000000,Academia and industry collaboration
EN^2AS with performance reward,,2019-07-22,23000000,Academia
ERNIE 3.0,,2021-07-05,10000000000,Industry
ERNIE 3.0 Titan,,2021-12-23,260000006144,Academia and industry collaboration
ERNIE 3.5,,2023-06-27,,Industry
ERNIE 4.0,,2023-10-17,,Industry
ERNIE-Doc (247M),,2020-12-31,247000000,Industry
ERNIE-GEN (large),,2020-08-06,340000000,Industry
ERNIE-ViLG,,2021-12-31,10000000000,Industry
ESM1b,,2020-12-15,652400000,Academia and industry collaboration
ESM2-15B,,2022-07-21,15000000512,Academia and industry collaboration
ESM3 (98B),,2024-06-25,98500001792,Academia and industry collaboration
ESRGAN,,2018-09-01,,Academia
EVA-01,,2022-11-14,1011000000,Academia
EfficientDet,,2020-07-27,77000000,Industry
EfficientNet-L2,,2019-05-28,480000000,Industry
EfficientNetV2-XL,,2021-06-23,208000000,Industry
EfficientZero,,2021-10-30,,Academia
Elastic weight consolidation,,2016-12-02,,Industry
Empirical evaluation of deep architectures,,2007-06-01,,Academia
EnCodec,,2022-10-24,,Industry
Enhanced Neighborhood-Based Filtering,,2007-10-28,,Industry
Error Propagation,,1986-01-03,,Academia
Eve,,2021-10-27,15010300,Academia
FAIRSEQ Adaptive Inputs,,2019-04-01,247000000,Industry
FAST,,2006-05-07,,Academia
FLAN 137B,,2021-09-03,137000001536,Industry
FTW,,2018-07-03,126001328,Industry
Falcon-180B,,2023-09-06,179999997952,Other
Falcon-40B,,2023-03-15,40000000000,Other
Fast R-CNN,,2015-04-30,,Industry
Faster R-CNN,,2015-06-04,,Industry
Feedback Transformer,,2020-02-21,126000000,Academia and industry collaboration
Feedforward NN,,2010-05-13,7082000,Academia
Ferret (13B),,2023-10-11,12999999488,Academia and industry collaboration
FinGPT-13B,,2023-10-07,12999999488,Academia
Fine-tuned-AWD-LSTM-DOC(fin),,2018-11-12,35000000,Industry
Firefly,,2023-03-21,,Industry
Fisher Kernel GMM,,2007-07-16,,Industry
Fisher Vector image classifier,,2013-06-12,,Academia and industry collaboration
Fisher-Boost,,2010-09-05,,Industry
FixRes ResNeXt-101 WSL,,2019-06-14,829000000,Industry
Flamingo,,2022-04-29,80000000000,Industry
Flan T5-XXL + BLIP-2,,2023-01-30,12099999744,Industry
Flan-PaLM 540B,,2022-10-20,539999993856,Industry
Flan-T5 11B,,2022-10-20,11000000512,Industry
Florence,,2021-11-22,893000000,Industry
Fold2Seq,,2021-06-24,12427904,Academia and industry collaboration
Fractional Max-Pooling,,2014-12-18,27000000,Academia
Fragment embedding,,2014-06-21,144496000,Academia
FrameNet role labeling,,2000-09-01,,Academia
Fraternal dropout + AWD-LSTM 3-layer (WT2),,2017-10-31,34000000,Academia
Fully Convolutional Networks,,2014-11-14,,Academia
FunSearch,,2023-12-14,15000000512,Industry
Fusion in Encoder,,2022-11-18,330000000,Industry
Fuzzy NN,,1992-09-01,1166,Academia
GAN-Advancer,,2016-12-05,,Industry
GANs,,2014-06-10,,Academia
GBERT-Large,,2020-10-21,335000000,Other
GCNN-14,,2016-12-23,,Industry
GGNN,,2023-08-05,,Academia
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),,2017-08-29,38000000,Academia
GLEE,,1968-07-01,,Academia
GLIDE,,2021-12-20,3500000000,Industry
GLM-130B,,2022-08-04,130000003072,Academia
GLM-4 (0520),,2024-06-18,,Industry
GLaM,,2021-12-13,1199999942656,Industry
GNMT,,2016-09-26,278000000,Industry
GOAT,,2021-07-27,3500000,Industry
GPT-1,,2018-06-01,117000000,Industry
GPT-2 (1.5B),,2019-02-14,1500000000,Industry
GPT-3 175B (davinci),,2020-05-28,174999994368,Industry
GPT-3.5 (text-davinci-003),,2022-11-28,,Industry
GPT-3.5 Turbo,,2022-11-30,20000000000,Industry
GPT-4,,2023-03-15,,Industry
GPT-4 Turbo,,2023-11-06,,Industry
GPT-4V,,2023-09-25,,Industry
GPT-4o,,2024-05-13,,Industry
GPT-NeoX-20B,,2022-02-09,20000000000,Other
GPU DBNs,,2009-06-15,100000000,Academia
GPipe (Amoeba),,2018-11-16,557000000,Industry
GPipe (Transformer),,2018-11-16,6000000000,Industry
GRUs,,2014-06-03,,Academia
GSM,,2017-07-30,,Academia and industry collaboration
GShard (dense),,2020-06-30,2300000000,Industry
Galactica,,2022-11-16,120000004096,Industry
Gated HORNN (3rd order),,2016-04-30,8970000,Academia
Gato,,2022-05-12,1180000000,Industry
Gemini 1.0 Pro,,2023-12-06,,Industry
Gemini 1.0 Ultra,,2023-12-06,,Industry
Gemini 1.5 Pro,,2024-02-15,,Industry
Gemini Nano-1,,2023-12-19,1800000000,Industry
Gemini Nano-2,,2023-12-19,3249999872,Industry
Gen-1,,2023-02-06,,Industry
Gen-2,,2023-03-20,,Industry
GenSLM,,2022-10-11,24999999488,Academia and industry collaboration
Generative BST,,2021-03-05,9400000512,Industry
Genetic algorithm,,1954-07-02,,Academia
German ELECTRA Large,,2020-10-21,335000000,Other
GloVe (32B),,2014-01-01,120000000,Academia
GloVe (6B),,2014-01-01,120000000,Academia
Go-explore,,2020-04-27,,Industry
Goat-7B,,2023-05-23,7000000000,Academia
Golem,,1992-10-01,,Other
GoogLeNet / InceptionV1,,2014-09-17,6797700,Academia and industry collaboration
Gopher (280B),,2021-12-08,280000004096,Industry
Gradient Boosting Machine,,2001-10-01,,Academia
Graph-based structural reasoning,,1970-09-01,,Academia
GraphCast,,2023-11-14,,Industry
Greedy layer-wise DNN training,,2006-12-04,,Academia
GroupLens,,1994-10-22,,Academia
HLBL,,2008-12-08,1846400,Academia
HMM Word Alignment,,1996-08-05,,Academia
HOGWILD!,,2011-11-11,,Academia
HRA,,2017-06-13,,Industry
Hanabi 4 player,,2019-02-01,764000,Academia and industry collaboration
Handwritten Digit Recognition System,,1989-01-01,2578,Industry
Heuristic Reinforcement Learning,,1965-10-01,,Academia
Hierarchical Cognitron,,1984-04-01,9315,Industry
Hierarchical LM,,2005-01-01,,Other
Hiero,,2005-06-01,120000000,Academia
Histograms of Oriented Gradients,,2005-06-25,,Academia
Hopfield Networks (2020),,2020-07-16,,Academia
Hopfield network,,1982-04-01,9900,Academia
HuBERT,,2021-07-27,1000000000,Industry
Hybrid H3-2.7B,,2022-12-28,2700000000,Academia
HyenaDNA,,2023-06-27,6600000,Academia
HyperCLOVA 204B,,2021-09-10,204000002048,Industry
HyperNEAT,,2014-03-05,239712,Academia
IBM Model 4,,1999-07-02,,Academia and industry collaboration
IBM-5,,1993-06-15,1658364,Industry
IMPALA,,2018-02-05,1600000,Industry
ISR network,,1990-10-01,,Academia
ISS,,2017-09-15,11100000,Academia and industry collaboration
Image generation,,2013-12-20,,Academia
Image-to-image cGAN,,2016-11-21,,Academia
ImageBind,,2023-05-09,932000000,Industry
Imagen,,2022-05-23,7761999872,Industry
Immediate trihead,,2001-07-06,,Academia
Inception v3,,2015-12-02,23626728,Academia and industry collaboration
Inception-ResNet-V2,,2016-02-23,56000000,Industry
Inceptionv4,,2016-02-23,43000000,Industry
Incoder-6.7B,,2023-04-09,6700000256,Academia and industry collaboration
Inflated 3D ConvNet,,2017-06-01,,Academia and industry collaboration
Inflection-2,,2023-11-22,,Industry
Inflection-2.5,,2024-03-07,,Industry
Innervator,,1989-01-01,10,Academia
InstructBLIP,,2023-05-11,12999999488,Academia and industry collaboration
InstructGPT,,2022-01-27,174999994368,Industry
InternImage,,2022-11-10,1080000000,Academia and industry collaboration
InternLM,,2023-07-06,99999997952,Academia and industry collaboration
Internal functionality of visual invariants,,1979-05-02,,Academia
Invariant CNN,,2004-06-27,90575,Academia
Invariant image recognition,,1989-06-18,,Academia
Iterative Bootstrapping WSD,,1995-06-26,,Academia
JFT,,2017-07-10,,Academia and industry collaboration
JPMAX,,1994-01-01,4446,Other
Jais,,2023-08-29,12999999488,Academia and industry collaboration
Jurassic-1-Jumbo,,2021-08-11,178000003072,Industry
KEPLER,,2020-11-23,125000000,Other
KN-LM,,2007-06-22,20999999488,Industry
KN5 LM + RNN 400/10 (WSJ),,2010-09-26,80000000,Academia
KataGo,,2019-02-27,2500000,Industry
Kohonen network,,1981-07-25,4096,Academia
LDA,,2003-02-02,,Academia
LDM-1.45B,,2021-12-20,1450000000,Academia and industry collaboration
LEP-AD,,2023-03-15,3007380992,Academia
LISSOM,,1995-11-27,432800,Academia
LLaMA-65B,,2023-02-24,65200001024,Industry
LLaVA,,2023-04-17,12999999488,Academia and industry collaboration
LLaVA 1.5,,2023-11-05,12999999488,Academia and industry collaboration
LMICA,,2004-12-01,4096000,Other
LMS,,1960-06-30,17,Academia
LMSI-Palm,,2022-10-20,539999993856,Academia and industry collaboration
LRCN,,2014-11-07,142552000,Academia
LRSO-GAN,,2017-10-22,,Academia
LSTM,,1997-11-15,10504,Academia
LSTM (2018),,2018-03-04,13000000,Academia and industry collaboration
"LSTM (Hebbian, Cache, MbPA)",,2018-03-27,45200000,Academia and industry collaboration
LSTM + dynamic eval,,2017-09-21,50000000,Academia
LSTM LM,,2012-01-01,102720000,Academia
LSTM with forget gates,,1999-01-02,276,Academia
LSTM+NeuralCache,,2018-09-24,2100000,Academia and industry collaboration
LSTM-300units,,2012-09-01,12000000,Academia
LSTM-Char-Large,,2015-08-26,19000000,Academia
LTE speaker verification system,,1966-11-01,2061,Industry
LTM-1,,2023-06-06,,Industry
LUKE,,2020-10-02,484000000,Academia
LaMDA,,2022-02-10,137000001536,Industry
LaNet-L (CIFAR-10),,2019-06-17,44100000,Academia and industry collaboration
Large regularized LSTM,,2014-09-08,66000000,Academia and industry collaboration
LeNet-5,,1998-11-01,60000,Industry
Learnability theory of language development,,1984-07-01,,Academia
Libratus,,2017-01-01,,Academia
Linear Decision Functions,,1962-06-01,,Industry
"Listen, Attend and Spell",,2015-08-20,,Academia and industry collaboration
Llama 2-70B,,2023-07-18,70000001024,Industry
Llama 2-7B,,2023-07-18,70000001024,Industry
Llama 3-70B,,2024-04-18,70000001024,Industry
Llama 3.1-405B,,2024-07-23,404999995392,Industry
Llama Guard,,2023-12-07,7000000000,Industry
Local Binary Patterns for facial recognition,,2006-12-01,,Academia and industry collaboration
LongT5,,2021-12-15,3000000000,Industry
M4-50B,,2019-10-11,49999998976,Industry
M6-T,,2021-03-05,1002700013568,Industry
MADALINE I,,1962-07-01,,Academia
MCDNN (MNIST),,2012-02-13,1994300,Academia
MEB,,2021-09-04,134999998464,Industry
MLN-ASR,,1988-08-01,10000,Academia
MLP baggage detector,,1989-01-01,,Industry
MM1-30B,,2024-03-14,30000001024,Industry
MMLSTM,,2019-12-05,75000000,Academia
MS-CNN,,2016-09-17,,Academia and industry collaboration
MSA Transformer,,2021-02-13,100000000,Academia and industry collaboration
"MSRA (C, PReLU)",,2015-02-06,87048800,Industry
MT-DNN,,2019-01-31,330000000,Industry
MUSIC perceptron,,1996-06-03,13607,Other
MV-RNN,,2012-07-12,3510255,Academia
Make-A-Video,,2022-09-29,,Industry
Mamba-24M (SC09),,2023-12-01,23400000,Academia
Mask R-CNN,,2017-03-30,,Industry
Masked Autoencoders,,2021-11-11,632000000,Industry
MatrixFac for Recommenders,,2009-08-07,,Industry
Max-Margin Markov Networks,,2004-03-01,,Academia
Maximum Entropy Models for machine translation,,2002-07-06,,Academia
Maximum compute,,1950-07-02,40,Industry
Maximum compute,,1957-01-01,1000,Academia
Maximum compute,,1959-02-01,,Academia
Maximum compute,,1960-03-30,1000,Academia
Maximum compute,,1987-06-06,18629,Academia
Maximum compute,,1989-01-01,2578,Industry
Maximum compute,,1992-05-01,25000,Industry
Maximum compute,,1994-01-01,206910,Academia
Maximum compute,,1997-11-15,10504,Academia
Maximum compute,,2000-01-01,6906980,Academia
Maximum compute,,2007-06-22,299999985664,Industry
Maximum compute,,2013-01-16,,Industry
Maximum compute,,2014-09-10,1920000000,Industry
Maximum compute,,2015-10-01,8209984,Industry
Maximum compute,,2016-09-26,278000000,Industry
Maximum compute,,2017-10-18,46400244,Industry
Maximum compute,,2021-09-03,137000001536,Industry
Maximum compute,,2022-06-29,540349988864,Industry
Maximum compute,,2023-12-06,,Industry
Maximum data,,1950-07-02,40,Industry
Maximum data,,1955-03-01,225,Academia
Maximum data,,1959-07-01,16,Industry
Maximum data,,1983-09-01,324,Academia
Maximum data,,1992-05-01,25000,Industry
Maximum data,,1993-06-15,1658364,Industry
Maximum data,,1994-10-22,,Academia
Maximum data,,1995-06-26,,Academia
Maximum data,,2007-06-22,299999985664,Industry
Maximum data,,2021-02-13,100000000,Academia and industry collaboration
Maximum data,,2024-09-19,72700002304,Industry
Maximum parameters,,1950-07-02,40,Industry
Maximum parameters,,1955-03-01,225,Academia
Maximum parameters,,1957-01-01,1000,Academia
Maximum parameters,,1959-12-01,2625,Industry
Maximum parameters,,1975-09-01,28800,Industry
Maximum parameters,,1980-04-01,1140576,Industry
Maximum parameters,,1993-06-15,1658364,Industry
Maximum parameters,,1995-09-01,100000000,Industry
Maximum parameters,,2001-12-08,120000000,Industry
Maximum parameters,,2007-06-22,299999985664,Industry
Maximum parameters,,2021-01-11,1571000025088,Industry
Maximum parameters,,2023-10-25,1599999967232,Academia and industry collaboration
Maxout Networks,,2013-02-18,,Academia
MedBERT,,2021-05-20,17000000,Academia
Meena,,2020-01-28,2600000000,Industry
MegaScale (Production),,2024-02-23,529999986688,Academia and industry collaboration
MegaSyn,,2022-03-07,,Industry
Megatron-BERT,,2019-09-17,3900000000,Industry
Megatron-LM (8.3B),,2019-09-17,8300000256,Industry
Megatron-Turing NLG 530B,,2021-10-11,529999986688,Industry
MemoReader,,2018-10-31,,Academia and industry collaboration
Mesh-TensorFlow Transformer 2.9B (translation),,2018-11-05,2900000000,Industry
Mesh-TensorFlow Transformer 4.9B (language),,2018-11-05,4899999744,Industry
MetNet,,2020-03-24,,Industry
Meta Pseudo Labels,,2021-03-01,480000000,Industry
MetaLM,,2022-06-13,,Industry
MetaMimic,,2018-10-11,22000000,Industry
Mid-level Features,,2010-06-13,,Academia
Midjourney V1,,2022-02-15,,Industry
Minerva (540B),,2022-06-29,540349988864,Industry
Mistral Large 2,,2024-07-24,122999996416,Industry
Mitosis,,2013-09-22,37230,Academia
Mixtral 8x7B,,2023-12-11,46699999232,Industry
Mixture of linear models,,1994-01-01,384000,Other
MnasNet-A1 + SSDLite,,2019-05-29,4900000,Industry
MnasNet-A3,,2019-05-29,5200000,Industry
Mnemonic Reader,,2017-05-08,,Academia and industry collaboration
MoCo,,2019-11-13,375000000,Industry
MoE-Multi,,2017-01-23,8700000256,Academia and industry collaboration
MobileNet,,2017-04-17,4200000,Industry
MobileNetV2,,2018-06-18,3400000,Industry
